,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
a,0.46116334,0.5012329,0.3092879,0.69976693,0.43872422,0.47681063,0.5735327,0.81617624,0.42933896,0.41954198
farmer,0.6664509,0.63849634,0.50097233,0.712478,0.65844303,0.5242647,0.3574508,0.5308676,0.53980166,0.44573307
plans,0.5412478,0.5920991,0.44805056,0.74103683,0.8397737,0.46133235,0.585141,0.68584174,0.6295396,0.47666362
the,0.7245754,0.32596913,0.33762884,0.71242344,0.68340653,0.47084334,0.74469703,0.46497965,0.5239688,0.46558756
season,0.52884203,0.7273787,0.38597786,0.7043494,0.72171885,0.60670996,0.77165776,0.61101645,0.48485684,0.4813518
by,0.3503039,0.48165587,0.35407513,0.69615364,0.44480392,0.44386068,0.7317603,0.7979053,0.62903965,0.43073183
selecting,0.6877762,0.72691053,0.6387982,0.8116017,0.2736851,0.55872554,0.3593472,0.5252304,0.7552481,0.4398651
seed,0.51442754,0.6820471,0.7749277,0.7874004,0.7686934,0.48892337,0.48497862,0.8196191,0.93003213,0.46828902
varieties,0.7690786,0.35501298,0.82879186,0.66580003,0.65730524,0.4932882,0.60450464,0.44390213,1.0,0.5177436
based,0.7143332,0.81084406,0.7100587,0.59792805,0.7131864,0.82547253,0.72534764,0.4620757,0.9982188,0.5626262
on,0.0,0.45570454,0.5383375,0.36733967,0.5397428,0.5794433,0.738146,0.6535182,0.7879414,0.402395
soil,0.63185763,0.828283,0.45266035,0.63431126,0.38419306,0.633941,0.6786727,0.49269974,0.6612226,0.4777832
moisture,0.49856317,0.6615013,0.70407945,0.64837307,0.629533,0.70824474,0.5653804,0.9038618,0.7115502,0.50544935
rainfall,0.67545635,0.37497574,0.8927887,0.54733217,0.59019524,0.72739637,0.49722132,0.74185586,0.63957936,0.47077784
forecast,0.77078474,0.6428245,0.76974076,0.47803813,0.61958903,0.9400541,0.5984577,0.51218885,0.6361427,0.62611824
and,0.29644173,0.33760378,0.3536097,0.23499633,0.533637,0.28349742,0.6725903,0.39835328,0.5272312,0.5218903
pest,0.78928775,0.78029084,0.4258692,0.4374929,0.39200556,0.9734277,0.42582723,0.4472151,0.6428177,0.5630333
resistance,0.64852923,0.81918377,0.37012458,0.55262476,0.5888989,0.6484923,0.40823087,0.80487746,0.55822146,0.38915738
field,0.7189684,0.47600904,0.5660456,0.6188377,0.5572932,0.4940449,0.27779296,0.78820217,0.41437954,0.24528417
preparation,0.8338508,0.7422791,0.71315986,0.7529937,0.66774535,0.70113915,0.3248505,0.74233633,0.29829302,0.7098484
