,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
a,0.6695205,0.40289587,0.20702662,0.025925381,0.20161626,0.12352119,1.0,0.10236421,0.6074412,0.19746539
farmer,0.6849419,0.6780265,0.24727596,0.09631318,0.31210083,0.17344874,0.69377494,0.13787247,0.30408028,0.3400609
plans,0.6758567,0.17683895,0.14190578,0.18849981,0.30492377,0.13439679,0.703667,0.07989604,0.27834502,0.65917766
the,0.19908461,0.21815929,0.16252925,0.16606385,0.7024822,0.11118788,0.6613885,0.17135184,0.34464127,0.29937118
season,0.21643363,0.21406315,0.21736078,0.50472414,0.39705583,0.028519973,0.6867749,0.22394775,0.34912816,0.29313952
by,0.23788518,0.21107107,0.17868112,0.10831009,0.21141413,0.0024552057,0.63533205,0.24513695,0.6238112,0.40947753
selecting,0.46946266,0.672953,0.39836296,0.2095608,0.26855677,0.160539,0.59556556,0.4074306,0.61859185,0.60780454
seed,0.68833363,0.37321773,0.27325064,0.19154967,0.24637957,0.24743192,0.5748111,0.27450502,0.61424047,0.68434
varieties,0.2792861,0.17302552,0.19951627,0.14309457,0.42772442,0.1193161,0.49389276,0.264014,0.58154184,0.74092597
based,0.35010755,0.22653459,0.31403327,0.5435933,0.7007694,0.10982251,0.4211455,0.27272993,0.62936544,0.6956822
on,0.16577923,0.18280257,0.100284636,0.5583066,0.27606,0.21753013,0.2629639,0.10322756,0.6232194,0.15152091
soil,0.25282905,0.1828666,0.18086097,0.34814212,0.24382676,0.09282277,0.5301275,0.54318476,0.54847735,0.35582107
moisture,0.6297809,0.58739054,0.5926937,0.3272614,0.25847113,0.21459271,0.17620906,0.5541211,0.6442727,0.6291986
rainfall,0.7394965,0.32543477,0.62857616,0.2695972,0.2838263,0.3925396,0.21662915,0.36862075,0.59039366,0.64357984
forecast,0.28515095,0.31778002,0.61366373,0.20048313,0.4680498,0.5216302,0.2069851,0.23340902,0.5821796,0.68761516
and,0.20630738,0.2070075,0.10999918,0.26135355,0.22847205,0.50770235,0.26967803,0.090317085,0.13263027,0.12979531
pest,0.5294657,0.15210134,0.68570614,0.23834975,0.71320635,0.18698585,0.1441172,0.09359682,0.5422735,0.29476967
resistance,0.329685,0.21236692,0.71402717,0.21157785,0.59516245,0.07452418,0.02818696,0.50670904,0.53637415,0.22029923
field,0.6878067,0.43321276,0.71000355,0.041097663,0.1804544,0.05501876,0.011849986,0.107536346,0.07839125,0.21966398
preparation,0.5223864,0.66543275,0.74425673,0.15300933,0.23255435,0.25906977,0.108752154,0.15244737,0.17089444,0.3085089
includes,0.22898483,0.669695,0.7075414,0.056814775,0.16540095,0.08634106,0.0,0.10502936,0.07760841,0.65013415
ploughing,0.19273733,0.67197764,0.66169095,0.13963835,0.5032661,0.08695505,0.07538533,0.08803233,0.073935196,0.56922865
levelling,0.15938334,0.6761798,0.65037316,0.29271254,0.68577564,0.09542135,0.12959638,0.51912755,0.09178692,0.2606947
